perturbation,k,trial,start,group_change_rate,pair_preservation,d_skill_imbalance,d_experience_imbalance,d_diversity_imbalance,d_preference_satisfaction
add,3,1,warm,0.16666666666666666,0.9474576271186441,0.0019809630172902505,0.07655895691609982,0.008888888888888863,0.023255813953488413
add,3,2,cold,0.55,0.864406779661017,0.002132894536564624,0.12996031746031755,0.015634920634920627,0.0
add,3,2,warm,0.15,0.9531073446327684,0.0005760871357709733,-0.03829365079365078,0.015634920634920627,0.033333333333333326
add,3,3,cold,0.6,0.8666666666666667,5.686204223355994e-05,-0.03359977324263036,0.014047619047619045,-0.011363636363636354
add,3,3,warm,0.1,0.9672316384180791,-5.142619331065831e-05,-0.009109977324262997,0.0025396825396825223,-0.022727272727272707
add,3,4,cold,0.6,0.86045197740113,0.0023152167020975053,0.13812358276644,0.01126984126984125,0.023255813953488413
add,3,4,warm,0.05,0.9824858757062147,0.0005098422746598642,0.02981859410430837,0.016031746031746022,0.011627906976744207
add,6,0,cold,0.4666666666666667,0.892090395480226,0.0007301242653810843,0.2654178145087237,-0.0022451790633609,-0.06521739130434784
add,6,0,warm,0.016666666666666666,0.9971751412429378,0.0013287315886134064,-0.037612488521579404,-0.0022451790633609,0.010869565217391353
add,6,1,cold,0.6166666666666667,0.86045197740113,0.0003335384067952238,0.10931129476584031,0.005330578512396655,-0.06382978723404253
add,6,1,warm,0.05,0.9858757062146892,0.002264505578512396,-0.03715335169880625,0.005330578512396697,0.021276595744680882
add,6,2,cold,0.5666666666666667,0.8728813559322034,0.001097158241505968,0.08773186409550052,0.020482093663911807,-0.0824175824175824
add,6,2,warm,0.03333333333333333,0.9937853107344633,0.000989343847566574,0.00692378328741966,0.020482093663911835,0.016483516483516536
add,6,3,cold,0.5666666666666667,0.8711864406779661,0.0003211728191000922,-0.044958677685950396,0.01841597796143249,0.051724137931034475
add,6,3,warm,0.2,0.9446327683615819,0.0011093685261707987,-0.004554637281909968,0.005330578512396697,0.028735632183908066
add,6,4,cold,0.5333333333333333,0.8830508474576271,0.0011021311524334254,0.08451790633608816,0.0025757575757575507,-0.026315789473684237
add,6,4,warm,0.016666666666666666,0.9971751412429378,0.0017384834251606982,0.023911845730027553,0.01772727272727269,0.047368421052631615
